Vehicle Type,Status,Vehicle Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,City,State,ZIP Code
Taxi,VIOLATION,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,CHICAGO,IL,60630
Livery,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO,IL,60646
Livery,ACTIVE,LINCOLN,MKT,2015,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,CHICAGO,IL,60656
Charter Sightseeing,INACTIVE,FORD,ECONOLINE,2012,BLACK,Gasoline,N,CHICAGO,IL,60602
Livery,ACTIVE,LINCOLN,CONTINENTAL,2017,BLACK,Gasoline,N,CHICAGO,IL,60646
Charter Sightseeing,INACTIVE,FREIGHLINE,TROLLEY,1998,RED/GREEN,Gasoline,N,CHICAGO,IL,60609
Ambulance,ACTIVE,MERCEDES,SPRINTER,2013,WHITE/ORANGE,Gasoline,N,ELMHURST,IL,60126
Livery,RESERVED,CADILLAC,XTS,2017,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,VIOLATION,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,CHICAGO,IL,60630
Livery,ACTIVE,GMC,YUKON,2015,BLACK,Gasoline,N,CHICAGO,IL,60630
Taxi,ACTIVE,TOYOTA,CAMRY,2014,YELLOW,Hybrid,N,CHICAGO,IL,60618
Ambulance,ACTIVE,FORD,E350,2013,WHITE/BLUE,Gasoline,N,TINLEY PARK,IL,60487
Taxi,ACTIVE,FORD,FUSION,2014,GREEN,Hybrid,N,CHICAGO,IL,60645
Ambulance,RESERVED,FORD,E350,2010,WHITE,Gasoline,N,SKOKIE,IL,60076
Medicar,VIOLATION,FORD,ECONOLINE,2011,WHITE,Gasoline,N,CHICAGO,IL,60637
Charter Sightseeing,ACTIVE,FREIGHLINE,FB65,2004,WHITE,Gasoline,N,CHICAGO,IL,60634
Livery,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,CHICAGO,IL,60631
Livery,ACTIVE,LINCOLN,MKS,2015,BLACK,Gasoline,N,CHICAGO,IL,60630
Livery,ACTIVE,LINCOLN,MKT,2016,BLACK,Gasoline,N,CHICAGO,IL,60618
Taxi,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60656
Livery,RESERVED,CHEVROLET,SUBURBAN,2013,BLACK,Gasoline,N,CHICAGO,IL,60613
Livery,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,CHICAGO,IL,60613
Taxi,FORECLOSURE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,CHICAGO,IL,60612
Taxi,SURRENDER,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60656
Charter Sightseeing,INACTIVE,FORD,TRANSIT BUS,2006,BLACK,Gasoline,N,CHICAGO,IL,60619
Taxi,FORECLOSURE,TOYOTA,SIENNA,2012,YELLOW,Gasoline,N,CHICAGO,IL,60618
Taxi,ACTIVE,FORD,ESCAPE,2011,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Livery,INACTIVE,CHRYSLER,300,2011,BLACK,Gasoline,N,CHICAGO,IL,60656
Livery,ACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,CHICAGO,IL,60656
Taxi,FORECLOSURE,TOYOTA,PRIUS,2012,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,ACTIVE,TOYOTA,PRIUS,2014,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO,IL,60616
Taxi,ACTIVE,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,CHICAGO,IL,60656
Taxi,FORECLOSURE,TOYOTA,CAMRY,2017,BLUE/WHITE,Hybrid,N,CHICAGO,IL,60646
Taxi,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,CHICAGO,IL,60656
Charter Sightseeing,INACTIVE,FORD,E350,2007,BLACK,Gasoline,N,CHICAGO,IL,60616
Taxi,ACTIVE,TOYOTA,CAMRY,2015,CREAM/GREEN,Hybrid,N,CHICAGO,IL,60618
Taxi,FORECLOSURE,TOYOTA,CAMRY,2014,GRAY/WHITE,Hybrid,N,CHICAGO,IL,60626
Taxi,ACTIVE,TOYOTA,PRIUS,2014,GREEN,Hybrid,N,CHICAGO,IL,60645
Livery,VIOLATION,LINCOLN,TOWN CAR,2011,BLACK,Gasoline,N,CHICAGO,IL,60618
Taxi,VIOLATION,TOYOTA,PRIUS,2011,YELLOW,Hybrid,N,CHICAGO,IL,60618
Taxi,VIOLATION,FORD,ESCAPE,2010,WHITE,Hybrid,N,CHICAGO,IL,60630
Taxi,VIOLATION,FORD,ESCAPE,2012,WHITE,Hybrid,N,CHICAGO,IL,60630
Charter Sightseeing,ACTIVE,GMC,C5500,2004,WHITE,Gasoline,N,CHICAGO,IL,60643
Taxi,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,CHICAGO,IL,60630
Taxi,FORECLOSURE,VPG,MV-1,2012,MAROON/BLUE/STRIPES,Compressed Natural Gas,Y,CHICAGO,IL,60616
